wds_id,discov#,comp,first,last,obs,pa_first,pa_last,sep_first,sep_last,mag1,mag2,spectr,pm1_ra,pm1_dec,pm2_ra,pm2_dec,notes,coord_arcsec_2000
07063+0431,BAL2730,,1899,2015,8,158,162,6.0,6.1,10.44,12.20,,0,-2,1,-1,,070618.30+043051.0
13152-3938,WG 162,,1903,2015,5,67,71,6.0,6.1,9.30,10.60,K1/2III,-18,0,-5,1,,131512.54-393827.8
15375-5521,FIN 59,,1894,2015,6,354,349,5.9,6.1,9.57,11.80,Fm,-15,-48,,,,153729.70-552037.2
06262-3751,JSP 869,,1912,2015,9,249,250,6.4,6.2,10.76,10.83,G,-3,13,-2,14,T,062611.48-375010.3
06437+3911,BRT2216,,1924,2015,8,16,28,5.3,6.2,9.38,12.20,K0,-25,-11,,,N,064340.54+391037.5
08175-3149,PRO 48,,1911,2015,6,208,206,6.4,6.2,10.81,11.60,,-1,0,-1,-1,,081730.18-314758.7
08417-4454,CPO 226,,1904,2015,8,344,342,6.1,6.2,9.70,9.90,,10,-29,,,,084144.62-445448.4
10424-5456,WFC 107,,1892,2015,6,19,30,5.7,6.2,10.35,11.01,,-15,5,-11,7,,104220.65-545548.9
06055+5848,STI2126,,1911,2015,11,284,291,6.2,6.3,10.49,11.54,,28,-55,-6,-42,,060527.37+584734.6
06263+3802,ES 2564,,1932,2015,8,263,261,5.1,6.3,10.00,11.50,,6,-5,,,,062555.15+380125.0
07262+2359,POU2767,,1909,2015,7,213,216,6.9,6.3,10.19,11.60,,-3,-3,,,,072605.80+235853.5
07449+0349,BAL2784,,1910,2015,14,15,18,6.4,6.3,10.70,11.40,,-2,-16,3,-7,N,074453.19+034839.1
08045-3232,TDS5503,,1914,2015,7,278,278,6.3,6.4,10.54,10.72,,-12,8,-13,9,T,080429.01-323219.5
10492-7337,HJ 4377,,1835,2015,8,277,283,3.0,6.4,10.41,12.70,G5,-17,21,-41,28,,104907.78-733616.9
12078-2520,B 220,,1911,2015,10,302,302,7.1,6.4,9.34,11.60,F7/8V,4,-24,,,,120746.55-252028.2
12273-5737,HJ 4523,,1837,2015,14,276,275,7.0,6.4,10.43,11.14,,22,-21,22,-21,V,122716.59-573718.9
13591-6554,MLO 55,,1893,2015,5,156,194,3.1,6.4,9.90,11.80,,1,35,,,R,135910.19-655324.4
07261-4537,HJ 3970,,1835,2015,7,272,286,2.0,6.5,10.07,11.10,,9,-8,,,,072606.84-453730.2
08237-2137,B 2654,,1920,2015,9,263,263,6.4,6.5,9.99,12.20,F8,-9,-2,-32,-5,N,082342.78-213707.4
14173-7035,WFC 147,,1892,2015,9,290,288,6.2,6.5,10.97,11.47,,-6,3,-6,3,T,141718.53-703448.6
06448-0012,BAL 716,,1893,2015,7,295,293,7.0,6.6,10.89,12.00,A2II+A5V,2,0,1,-1,,064450.75-001211.6
11417-5047,CPO 332,,1900,2015,8,355,358,5.3,6.6,10.17,10.72,A2,-16,0,-20,7,,114140.61-504657.9
06179+1046,SLE 865,,1913,2015,7,136,128,6.8,6.7,10.51,13.10,,2,2,9,5,,061753.49+104616.2
08500-0705,TVB 204,,1893,2015,7,138,143,7.1,6.7,10.40,11.30,,3,2,2,1,,084958.40-070450.0
09200-2747,HJ 4199,AC,1898,2015,5,271,269,8.4,6.7,8.29,8.20,A0V,-10,9,-4,8,,091958.34-274635.1
10049-4042,WG 130,,1898,2015,8,271,272,7.5,6.7,10.71,11.80,G5,-15,3,-24,5,,100453.94-404231.0
13148-6202,B 2746,AB,1932,2015,5,45,41,6.0,6.7,9.92,12.60,B8/9V,-12,-6,,,,131450.20-620149.0
13520-3307,PRO 107,,1911,2015,10,4,2,6.2,6.7,9.63,11.80,F3/5V,-19,-9,,,,135158.09-330730.0
15240-5449,NZO 54,,1905,2015,9,200,207,2.0,6.7,10.35,11.90,B8III,6,13,,,,152400.62-544808.3
08045-2946,SKF2176,,1913,2015,7,228,228,7.2,6.8,10.80,12.00,K:,6,7,,,,080428.41-294540.0
08087-6710,HJ 4061,,1835,2015,9,15,28,4.0,6.8,10.80,11.40,,2,28,8,17,,080841.37-670958.7
08138-4034,WG 87,,1904,2015,5,19,18,6.4,6.8,10.20,12.00,A2,-7,1,-7,11,,081346.60-403412.5
